         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
        10,   5503.12,        10,        10,        59,1.20365e+06,      1103,   775.788,      1956,   349.056,      1424,   46604.6,       433,     46069,       467,        58,       133,         0,         0,   750.985,       948,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   7874.72,        25,        25,       228,1.19263e+06,      1118,   2136.36,      4571,   885.179,      3010,    141946,      1203,    140459,      1481,       158,       568,         0,         0,   2413.17,      2785,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   11091.1,        48,        52,       468,1.24204e+06,      1143,   4319.72,     10281,   2334.97,     10036,    400768,      3019,    396267,      4297,       398,      1981,         0,         0,   5965.64,      7122,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   701.231,         1,         1,         2,   96157.9,       185,    13.075,        36,     1.689,         7,   218.085,         9,       213,         3,         1,         0,         0,         0,     4.711,         9,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3521.38,         4,         5,        19,    802428,      3765,   182.579,       608,    45.976,       187,   11032.9,       139,     10930,       123,        19,        27,         0,         0,   169.101,       242,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   4895.11,        10,        10,        50,1.59246e+06,      1108,   407.896,      1207,   128.979,       621,   33265.8,       310,     32983,       327,        45,       103,         0,         0,   561.215,       598,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   10880.1,        25,        25,       218,1.60608e+06,      1123,   2468.82,      6306,   1244.91,      4499,    243769,      1663,    241343,      2355,       199,      1046,         0,         0,   3872.67,      4148,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,     16047,        46,        55,       549,1.6471e+06,      1147,   6260.48,     14400,   6099.23,     23574,    921991,      5327,    913209,      8105,       680,      3856,         0,         0,   9534.99,     11181,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   1576.26,         1,         1,         3,1.00021e+06,      5453,    38.314,        98,     3.064,        11,   627.959,        15,       620,         6,         2,         0,         0,         0,      6.33,        13,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3500.54,         5,         5,        27,1.18928e+06,      1097,   216.462,       709,    49.526,       235,   11373.1,       110,     11268,        94,        17,        22,         0,         0,   134.476,       188,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   4231.42,         9,        10,        51,1.45498e+06,      1102,   310.041,      1065,   100.572,       417,   28836.5,       254,     28578,       253,        42,        78,         0,         0,   462.784,       530,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   7685.56,        26,        26,       164,1.3668e+06,      1117,   1690.05,      4286,   534.357,      2580,    138777,       997,    137552,      1268,       142,       546,         0,         0,   1834.27,      2525,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   11853.8,        52,        52,       417,1.25238e+06,      1142,   5722.45,     11557,   2249.45,     10390,    501023,      3272,    496180,      4600,       449,      2105,         0,         0,   6906.04,      8198,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
