         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   163.439,         6,         9,         0,         0,   327.462,       416,   169.499,       367,   2839.34,      6093,      2572,      6093,   16440.3,       250,     16132,       185,         0,         0,     16643,       250,     16328,       185,        37,     19.79,       115,   22016.1,     27283,     23223,     51413,        63,       157
         1,   40.1288,         1,         3,         0,         0,   284.699,       500,    43.961,        83,     18.74,        28,     4.943,        28,   1070.39,        31,      1043,        17,         0,         0,   1097.39,        31,      1071,        17,         8,    11.273,        79,   22016.1,     27283,     23223,     51413,        63,       157
         1,   24.0832,         1,         2,         0,         0,    24.101,        85,     5.583,        32,    12.675,        11,     0.895,        11,   356.317,        15,       349,         5,         0,         0,   354.114,        15,       347,         5,         3,    11.371,       129,   22016.1,     27283,     23223,     51413,        63,       157
         1,   9.84886,         1,         2,         0,         0,    33.157,        62,      2.35,        10,    12.276,         6,      0.37,         6,   113.207,         8,       109,         2,         0,         0,    95.356,         8,        91,         2,         0,     1.393,        22,   22016.1,     27283,     23223,     51413,        63,       157
         1,   36.3593,         2,         2,         0,         0,   103.665,       172,     8.719,        40,   322.931,       583,   233.045,       583,   1961.32,        30,      1934,        20,         0,         0,   1930.63,        30,      1906,        20,         4,     9.739,        67,   22016.1,     27283,     23223,     51413,        63,       157
         1,   23.3452,         1,         2,         0,         0,    82.592,       204,     6.858,        28,    12.888,        11,     1.196,        11,   501.797,        14,       494,         5,         0,         0,   500.151,        14,       493,         5,         3,     8.711,        74,   22016.1,     27283,     23223,     51413,        63,       157
         1,   66.2118,         3,         2,         0,         0,    222.89,       381,    53.926,       125,   1495.53,      2144,   1109.34,      2144,   3346.75,        61,      3276,        38,         0,         0,    3362.9,        61,      3294,        38,        16,    22.915,       139,   22016.1,     27283,     23223,     51413,        63,       157
         1,   58.0086,         4,         2,         0,         0,   304.082,       607,    43.333,       104,   375.165,       903,   331.373,       903,   2550.73,        33,      2514,        24,         0,         0,   2163.59,        33,      2131,        24,         4,       9.9,        49,   22016.1,     27283,     23223,     51413,        63,       157
         1,   10.2956,         1,         2,         0,         0,    37.636,        99,     3.467,         8,    12.145,         1,     0.024,         1,     0.593,         6,         0,         0,         0,         0,     0.442,         6,         0,         0,         0,     4.336,        49,   22016.1,     27283,     23223,     51413,        63,       157
         1,   43.8634,         2,         2,         0,         0,   145.901,       352,    37.349,       101,   137.843,       303,   114.864,       303,   1153.85,        23,      1134,        13,         0,         0,   1148.44,        23,      1130,        13,         5,     7.333,        41,   22016.1,     27283,     23223,     51413,        63,       157
         1,   55.4707,         1,         2,         0,         0,   323.413,       544,    138.45,       223,    14.857,        20,     2.772,        20,    890.79,        23,       876,        10,         0,         0,   889.109,        23,       875,        10,         8,     8.438,        51,   22016.1,     27283,     23223,     51413,        63,       157
         1,   69.3109,         1,         2,         0,         0,    15.403,        14,     4.441,         7,    12.994,         5,     1.388,         5,   153.988,         7,       145,         2,         0,         0,   151.696,         7,       143,         2,         0,     3.403,        13,   22016.1,     27283,     23223,     51413,        63,       157
         1,   79.5897,         2,         4,         0,         0,   248.334,       386,    57.689,       122,   773.348,      1496,   725.025,      1496,   3049.49,        43,      2989,        31,         0,         0,   2894.47,        43,      2836,        31,         5,    27.821,       172,   22016.1,     27283,     23223,     51413,        63,       157
         1,   48.2878,         1,         5,         0,         0,   153.878,       339,    78.672,       184,    19.239,        26,     6.393,        26,    1511.9,        29,      1480,        18,         0,         0,   1503.29,        29,      1475,        18,         6,     5.099,        23,   22016.1,     27283,     23223,     51413,        63,       157
         1,   80.0636,         5,         3,         0,         0,   600.081,      1083,   273.395,       612,   5001.66,      9410,   4880.66,      9410,   10611.7,       135,     10450,        91,         0,         0,   10552.6,       135,     10407,        91,        37,    49.803,       313,   22016.1,     27283,     23223,     51413,        63,       157
