K,order,dist,cost_ki,cost_edbt,vnum,density
4,4,2078.09,35.895,312820,2,1.08025
4,1,682.059,15.426,63510.9,2,1.08025
4,2,1191.94,15.426,63510.9,2,1.08025
4,3,1319.73,15.426,63510.9,2,1.08025
4,4,1958.6,15.426,63510.9,2,1.08025
4,1,2128.85,40.226,114172,3,1.08025
4,2,2572.98,40.226,114172,4,1.08025
4,3,2654.06,40.226,114172,4,1.08025
4,4,2801.76,40.226,114172,4,1.08025
4,1,710.381,17.529,168396,2,1.08025
4,2,1746.36,17.529,168396,2,1.08025
4,3,1767.97,17.529,168396,2,1.08025
4,4,2263.88,17.529,168396,3,1.08025
4,1,91.6788,18.594,91275.1,2,1.08025
4,2,1104.62,18.594,91275.1,2,1.08025
4,3,1607.84,18.594,91275.1,2,1.08025
4,4,1714.41,18.594,91275.1,2,1.08025
4,1,479.935,10.79,67589.1,2,1.08025
4,2,1626.4,10.79,67589.1,2,1.08025
4,3,1781.38,10.79,67589.1,2,1.08025
4,4,1867.1,10.79,67589.1,3,1.08025
4,1,593.779,9.396,31557.2,2,1.08025
4,2,940.332,9.396,31557.2,2,1.08025
4,3,1265.46,9.396,31557.2,3,1.08025
4,4,1553.87,9.396,31557.2,2,1.08025
4,1,543.928,25.366,153990,2,1.08025
