k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
1,1,17998.3,19865.8,8767.22,7135.05,2522.5,6318,1900,25,47546,46157,19950,19451,1711,928,902,9,779,0,928,902,9,254,0,278934,317068,133402,290906,6,5862
1,1,17966.6,5018.83,8853.14,5512.14,1894.78,4866,1399,13,14715,14228,20926,20421,1701,738,714,8,618,0,738,714,8,174,0,278934,317068,133402,290906,6,5862
1,1,21131.9,6845.64,14345,6325.52,2335.93,5552,1746,14,18262,17684,29484,28755,2551,871,837,5,727,0,871,837,5,213,0,278934,317068,133402,290906,6,5862
1,1,43856.3,25464.9,69958.1,45129.1,14387.7,39460,10182,40,61265,59521,107747,105668,11037,5572,5403,150,4772,0,5572,5403,150,1268,0,278934,317068,133402,290906,6,5862
1,1,18204.4,4443.98,9329.11,1870.73,667.566,1650,485,6,13604,13133,21552,20993,1765,246,243,0,214,0,246,243,0,61,0,278934,317068,133402,290906,6,5862
1,1,15658.5,7672.28,6248.08,3045.07,991.787,2688,715,14,20187,19521,15139,14730,1171,435,415,2,354,0,435,415,2,97,0,278934,317068,133402,290906,6,5862
1,1,19051.6,6431.88,10889.7,6964.97,2110.43,6104,1488,25,19250,18618,24084,23509,2085,951,914,18,793,0,951,914,18,194,0,278934,317068,133402,290906,6,5862
1,1,26804.5,17974.6,15355.1,10964.6,3770.87,9628,2752,9,36490,35430,32307,31588,3203,1450,1409,8,1232,0,1450,1409,8,366,0,278934,317068,133402,290906,6,5862
1,1,16936.5,7369.89,7688.6,6233.37,1793.58,5479,1250,22,21320,20627,18040,17581,1408,843,810,14,704,0,843,810,14,168,0,278934,317068,133402,290906,6,5862
1,1,31742.7,52838.1,10278.7,15982.3,4507.74,14071,3111,32,100366,97626,22460,21958,2184,2131,2067,46,1808,0,2131,2067,46,408,0,278934,317068,133402,290906,6,5862
1,1,28983.2,11852.7,26321,472.031,259.94,380,167,5,27578,26743,37352,36569,3602,112,111,0,66,0,112,111,0,23,0,278934,317068,133402,290906,6,5862
1,1,10571,16216,2820.27,2468.15,886.59,2258,691,16,36908,35793,6608,6441,360,332,317,2,269,0,332,317,2,86,0,278934,317068,133402,290906,6,5862
1,1,39018.3,26262.3,49825.2,4803.17,1911.76,4225,1407,5,60929,59157,80854,79261,8076,645,623,0,526,0,645,623,0,137,0,278934,317068,133402,290906,6,5862
1,1,28856.2,20021.7,38759.3,22871.1,6160.91,20415,4508,32,38471,37314,62581,61176,6030,2403,2321,84,2032,0,2403,2321,84,540,0,278934,317068,133402,290906,6,5862
1,1,9349.31,11673.1,2225.19,1485.71,426.697,1338,309,11,31437,30407,4761,4631,276,186,180,1,154,0,186,180,1,36,0,278934,317068,133402,290906,6,5862
1,1,32492,18787.4,41483.9,23219.5,6782.65,20407,4741,24,43715,42303,73111,71587,7164,2904,2812,54,2481,0,2904,2812,54,592,0,278934,317068,133402,290906,6,5862
1,1,15761.7,8855.09,7270.82,3319.62,1163.82,2929,856,11,23479,22720,15790,15396,1191,453,438,1,375,0,453,438,1,108,0,278934,317068,133402,290906,6,5862
1,1,50746.8,38522.2,65076.1,65621.3,22436.4,57107,15822,22,83617,81429,104321,102417,10957,8274,8046,167,7025,0,8968,8698,379,1915,0,278934,317068,133402,290906,6,5862
1,1,33502.9,13994.6,45143.8,26748.1,8070.73,23454,5717,36,37400,36189,78607,76978,7678,3380,3271,76,2875,0,3380,3271,76,685,0,278934,317068,133402,290906,6,5862
1,1,34140.9,26521.4,41725.8,1335.59,507.662,1146,353,4,52803,51215,73075,71571,7162,210,204,0,157,0,210,204,0,44,0,278934,317068,133402,290906,6,5862
1,1,34865.2,47010.2,19573.8,19374.5,5780.28,17011,4072,31,102215,99485,38724,37927,3787,2557,2473,64,2163,0,2557,2473,64,529,0,278934,317068,133402,290906,6,5862
1,1,4537.94,13045.5,237.662,465.304,156.327,414,114,9,33774,32732,775,745,28,65,63,0,53,0,65,63,0,16,0,278934,317068,133402,290906,6,5862
1,1,37755.7,44568.1,35803.8,40658.9,11909.1,35690,8265,45,91246,88609,58377,57188,5935,5146,4969,163,4401,0,5146,4969,163,1050,0,278934,317068,133402,290906,6,5862
1,1,20549.3,3991.79,14131.2,7341.03,2333.58,6459,1704,21,12127,11718,29713,28989,2508,1006,969,15,843,0,971,935,15,214,0,278934,317068,133402,290906,6,5862
1,1,20578.6,34024.5,11013,6363.44,1584.49,5758,1133,22,70421,68410,19323,18849,1577,623,598,9,511,0,623,598,9,119,0,278934,317068,133402,290906,6,5862
1,1,15189.2,9340.73,6018.55,5921.23,2190.51,5237,1642,18,23794,23046,13534,13187,1059,820,789,7,676,0,820,789,7,220,0,278934,317068,133402,290906,6,5862
1,1,50274.4,24068,82677,63492,18775.8,55088,12774,43,59354,57555,129585,127165,13381,8065,7828,187,6895,0,8005,7773,187,1626,0,278934,317068,133402,290906,6,5862
1,1,9638.43,13296.8,1701.86,1625.73,559.868,1444,414,7,34856,33756,4736,4583,274,228,221,1,183,0,228,221,1,56,0,278934,317068,133402,290906,6,5862
1,1,12044.9,17285.1,2510.96,1538.03,564.084,1363,425,6,39143,37897,6479,6314,434,223,211,2,184,0,223,211,2,60,0,278934,317068,133402,290906,6,5862
1,1,10057.2,10513.8,1999.82,2333.89,871.534,2071,659,12,27046,26194,5568,5391,332,319,312,1,263,0,319,312,1,85,0,278934,317068,133402,290906,6,5862
1,1,19553.5,5443.3,14020.3,4902.4,1517.89,4380,1109,10,14108,13631,25825,25179,2153,534,523,3,440,0,534,523,3,120,0,278934,317068,133402,290906,6,5862
1,1,34275.8,34786.5,37532.7,26302,6784.17,23476,4873,37,81395,78994,65095,63767,6736,2833,2722,97,2378,0,2833,2722,97,597,0,278934,317068,133402,290906,6,5862
1,1,11301.2,9887.01,2729.67,818.406,319.65,712,245,4,24434,23709,6560,6376,433,112,109,0,84,0,112,109,0,33,0,278934,317068,133402,290906,6,5862
1,1,11481.8,12965,2946.01,2189.99,735.041,1970,550,11,31768,30787,7743,7509,468,284,272,2,239,0,284,272,2,66,0,278934,317068,133402,290906,6,5862
1,1,41106.2,41961.4,47009.4,32442.3,8442.11,28673,5891,30,94333,91658,75475,74034,7685,3709,3575,109,3119,0,3709,3575,109,756,0,278934,317068,133402,290906,6,5862
1,1,18936.2,11725.1,10409.4,5879.51,1838,5247,1365,25,30644,29698,23835,23248,1979,791,765,5,648,0,791,765,5,173,0,278934,317068,133402,290906,6,5862
